s,d_s,theta_1,d_theta_1,u,time,T
-2.511835415898972e-06,-8.180970171770578e-06,5.707738647942051e-06,-1.5964113941212265e-05,5.2483081899700596e-05,10.060000000000173,6.131421798079197e-07
-2.552094327481823e-06,-7.922594461370018e-06,5.62826235439573e-06,-1.582896433712105e-05,5.167514208011197e-05,10.065000000000174,6.038511849111868e-07
-2.5910713618713414e-06,-7.668219294437215e-06,5.54946160535863e-06,-1.5693875066113853e-05,5.087503338656045e-05,10.070000000000174,5.946485740339372e-07
-2.628786424193943e-06,-7.4178056346035265e-06,5.471336043338937e-06,-1.555886836823887e-05,5.008273196673775e-05,10.075000000000175,5.855341079498253e-07
-2.6652592247033715e-06,-7.171314569167798e-06,5.393885201598891e-06,-1.542396600602896e-05,4.929821308714564e-05,10.080000000000176,5.76507536873913e-07
-2.700509279409054e-06,-6.928707313105183e-06,5.3171085045988775e-06,-1.5289189271221226e-05,4.852145121252309e-05,10.085000000000177,5.675686013228984e-07
-2.7345559107254333e-06,-6.689945213446644e-06,5.241005272438315e-06,-1.5154558989961692e-05,4.7752419931707625e-05,10.090000000000177,5.587170313510624e-07
-2.7674182481416e-06,-6.454989753020059e-06,5.165574722187927e-06,-1.5020095529592153e-05,4.6991092085317125e-05,10.095000000000178,5.499525479388035e-07
-2.7991152289099986e-06,-6.223802554339444e-06,5.090815969666096e-06,-1.4885818804602594e-05,4.623743973612285e-05,10.100000000000179,5.412748626870276e-07
-2.8296655987546214e-06,-5.996345383509589e-06,5.01672803299158e-06,-1.4751748282173955e-05,4.549143416597112e-05,10.10500000000018,5.326836778128134e-07
-2.8590879125976496e-06,-5.772580153701644e-06,4.943309833027598e-06,-1.461790298867135e-05,4.475304596158909e-05,10.11000000000018,5.241786870786761e-07
-2.8874005353043305e-06,-5.552468928970771e-06,4.870560197822726e-06,-1.4484301514732063e-05,4.402224494617458e-05,10.115000000000181,5.157595750905654e-07
-2.9146216424452814e-06,-5.3359739274096304e-06,4.798477862610895e-06,-1.4350962022034017e-05,4.329900031222809e-05,10.120000000000182,5.074260187311067e-07
-2.9407692210756785e-06,-5.1230575247492275e-06,4.7270614733641025e-06,-1.4217902248340475e-05,4.25832805320805e-05,10.125000000000183,4.991776862229699e-07
-2.965861070531303e-06,-4.913682257500554e-06,4.656309588124685e-06,-1.4085139513611613e-05,4.187505344973485e-05,10.130000000000184,4.91014238130777e-07
-2.989914803240545e-06,-4.707810826196295e-06,4.586220679225761e-06,-1.395269072546669e-05,4.117428626085173e-05,10.135000000000185,4.829353271631437e-07
-3.0129478455522793e-06,-4.505406098497381e-06,4.516793136399855e-06,-1.3820572384727933e-05,4.048094553978275e-05,10.140000000000185,4.7494059848995063e-07
-3.034977438578391e-06,-4.306431111947214e-06,4.448025266778899e-06,-1.3688800591705934e-05,3.9794997310033364e-05,10.145000000000186,4.6702969050260273e-07
-3.0560206390511083e-06,-4.110849077139749e-06,4.379915298891035e-06,-1.355739105089035e-05,3.911640696149294e-05,10.150000000000187,4.5920223395357273e-07
-3.076094320194685e-06,-3.918623380290853e-06,4.312461383104704e-06,-1.3426359077148737e-05,3.8445139369779256e-05,10.155000000000188,4.5145785324796084e-07
-3.095215172610676e-06,-3.7297175861056476e-06,4.245661594293182e-06,-1.3295719600696368e-05,3.778115883704113e-05,10.160000000000188,4.437961658264772e-07
-3.1133997051768654e-06,-3.544095440370145e-06,4.179513934055024e-06,-1.316548717260099e-05,3.712442914710055e-05,10.16500000000019,4.362167827788571e-07
-3.1306642459587504e-06,-3.361720872383806e-06,4.114016331602244e-06,-1.3035675970460064e-05,3.647491359726773e-05,10.17000000000019,4.2871930919450425e-07
-3.1470249431335988e-06,-3.182557997555572e-06,4.049166646424851e-06,-1.2906299803271794e-05,3.583257496564678e-05,10.17500000000019,4.213033438315927e-07
-3.162497765926762e-06,-3.0065711197097243e-06,3.9849626696231155e-06,-1.2777372116896434e-05,3.519737556916952e-05,10.180000000000192,4.139684797543883e-07
-3.177098505559623e-06,-2.83372473343461e-06,3.921402126572104e-06,-1.2648905999087935e-05,3.456927725502291e-05,10.185000000000192,4.0671430426280596e-07
-3.190842776208553e-06,-2.663983526137372e-06,3.85848267780986e-06,-1.2520914185129864e-05,3.394824145944766e-05,10.190000000000193,3.9954039953441427e-07
-3.20374601597451e-06,-2.4973123802455026e-06,3.7962019208137576e-06,-1.2393409062728592e-05,3.3334229178373805e-05,10.195000000000194,3.9244634232223247e-07
-3.215823487863419e-06,-2.3336763753181805e-06,3.7345573922209496e-06,-1.2266402676901947e-05,3.272720098546441e-05,10.200000000000195,3.8543170416789746e-07
-3.227090280776605e-06,-2.1730407899561226e-06,3.673546569160635e-06,-1.2139906735203651e-05,3.212711707241158e-05,10.205000000000195,3.784960518476961e-07
-3.237561310510819e-06,-2.0153711037294234e-06,3.6131668714745047e-06,-1.2013932612613506e-05,3.153393724533985e-05,10.210000000000196,3.716389473522768e-07
-3.2472513207673837e-06,-1.860632998896521e-06,3.5534156626049196e-06,-1.1888491356791448e-05,3.09476209665805e-05,10.215000000000197,3.6485994834501555e-07
-3.2561748841702297e-06,-1.7087923622419508e-06,3.494290251371268e-06,-1.1763593692696745e-05,3.036812733091402e-05,10.220000000000198,3.5815860792043746e-07
-3.2643464032928313e-06,-1.5598152867987375e-06,3.435787894190412e-06,-1.1639250027299198e-05,2.9795415088642652e-05,10.225000000000199,3.5153447487179564e-07
-3.271780111693195e-06,-1.413668073346735e-06,3.3779057955207747e-06,-1.1515470454712548e-05,2.9229442690400465e-05,10.2300000000002,3.449870941785673e-07
-3.278490074956871e-06,-1.2703172321236083e-06,3.320641111415057e-06,-1.1392264760419342e-05,2.867016824462534e-05,10.2350000000002,3.3851600657713914e-07
-3.284490191747106e-06,-1.129729483970397e-06,3.263990948632056e-06,-1.1269642426969278e-05,2.8117549630642257e-05,10.240000000000201,3.321207497742148e-07
-3.28979419486208e-06,-9.9187176201903e-07,3.2079523673012034e-06,-1.1147612637763318e-05,2.7571544390273418e-05,10.245000000000202,3.2580085729924743e-07
-3.2944156522996563e-06,-8.567112130115649e-07,3.1525223831430083e-06,-1.1026184281728707e-05,2.7032109801493006e-05,10.250000000000203,3.1955585931806563e-07
-3.2983679683281286e-06,-7.242151983773222e-07,3.0976979674690597e-06,-1.0905365958484978e-05,2.6499202926848534e-05,10.255000000000203,3.133852831558233e-07
-3.3016643845631067e-06,-5.943512956138652e-07,3.0434760498465607e-06,-1.0785165982337298e-05,2.59727805526914e-05,10.260000000000204,3.0728865266351455e-07
-3.3043179810503787e-06,-4.670872992948899e-07,2.989853518542418e-06,-1.0665592387178342e-05,2.5452799263795068e-05,10.265000000000205,3.012654890273318e-07
-3.3063416773542697e-06,-3.4239122226147624e-07,2.9368272222995984e-06,-1.0546652930593732e-05,2.4939215406682725e-05,10.270000000000206,2.9531531038791256e-07
-3.307748233651552e-06,-2.2023129665149004e-07,2.884393972113486e-06,-1.0428355098238002e-05,2.443198512199724e-05,10.275000000000206,2.894376322047973e-07
-3.3085502518301076e-06,-1.0057597477068042e-07,2.8325505421200603e-06,-1.0310706108466661e-05,2.3931064376161925e-05,10.280000000000207,2.836319676059244e-07
-3.308760176592093e-06,1.6606069976482235e-08,2.781293670484075e-06,-1.0193712916560025e-05,2.343640894943253e-05,10.285000000000208,2.7789782726641317e-07
-3.3083902965618784e-06,1.3134594210940258e-07,2.7306200625076826e-06,-1.0077382218590249e-05,2.2947974426584068e-05,10.290000000000209,2.7223471933425346e-07
-3.307452745397614e-06,2.4367452359646875e-07,2.6805263892981657e-06,-9.96172045660664e-06,2.246571629741324e-05,10.29500000000021,2.6664215050444335e-07
-3.305959502906676e-06,3.536224727787254e-07,2.6310092908765625e-06,-9.846733821765076e-06,2.1989589836451324e-05,10.30000000000021,2.6111962474690186e-07
-3.3039223961651784e-06,4.612202238203003e-07,2.5820653775099345e-06,-9.732428258870335e-06,2.151955020831498e-05,10.305000000000211,2.5566664445505025e-07
-3.301353100640068e-06,5.66497986223807e-07,2.5336912297113656e-06,-9.618809470901929e-06,2.1055552480701346e-05,10.310000000000212,2.502827105866058e-07
-3.298263141314279e-06,6.69485744091811e-07,2.48588340001632e-06,-9.5058829225592e-06,2.0597551573600805e-05,10.315000000000213,2.449673221306105e-07
-3.2946638938150716e-06,7.702132555912052e-07,2.4386384143149087e-06,-9.393653844234932e-06,2.0145502299878833e-05,10.320000000000213,2.397199765569504e-07
-3.2905665855448303e-06,8.687100525052293e-07,2.3919527731841583e-06,-9.28212723606055e-06,1.969935938280481e-05,10.325000000000214,2.3454017001714124e-07
-3.285982296813882e-06,9.650054398741967e-07,2.3458229527761887e-06,-9.171307872026705e-06,1.925907747379348e-05,10.330000000000215,2.2942739754375144e-07
-3.2809219619751502e-06,1.0591284956184377e-06,2.3002454052623023e-06,-9.061200303856872e-06,1.8824611148848184e-05,10.335000000000216,2.2438115301621846e-07
-3.2753963705609922e-06,1.1511080700448412e-06,2.2552165614975195e-06,-8.951808864342574e-06,1.839591488528071e-05,10.340000000000217,2.1940092893222357e-07
-3.2694161684214046e-06,1.240972785790175e-06,2.2107328305764895e-06,-8.843137671831515e-06,1.7972943149066723e-05,10.345000000000217,2.1448621734744031e-07
-3.2629918588633708e-06,1.3287510374232726e-06,2.1667906020539363e-06,-8.73519063348636e-06,1.755565032661953e-05,10.350000000000218,2.0963650915817938e-07
-3.256133803791353e-06,1.4144709913837998e-06,2.1233862459446584e-06,-8.627971449398453e-06,1.7143990792105432e-05,10.355000000000219,2.0485129482851317e-07
-3.248852224848639e-06,1.4981605857018203e-06,2.0805161149439755e-06,-8.5214836158543e-06,1.6737918863604087e-05,10.36000000000022,2.001300639361504e-07
-3.2411572045592376e-06,1.5798475300589035e-06,2.0381765439836386e-06,-8.415730429475828e-06,1.6337388871416625e-05,10.36500000000022,1.9547230590662189e-07
-3.233058687470273e-06,1.6595593055270394e-06,1.9963638524522764e-06,-8.310714990204483e-06,1.594235509362721e-05,10.370000000000221,1.9087750933681798e-07
-3.2245664812948025e-06,1.7373231646610758e-06,1.9550743441953955e-06,-8.20644020520562e-06,1.5552771826807263e-05,10.375000000000222,1.863451627587178e-07
-3.215690258054682e-06,1.81316613138713e-06,1.914304310179915e-06,-8.102908791984037e-06,1.5168593345210856e-05,10.380000000000223,1.818747542217767e-07
-3.20643955522283e-06,1.8871150013536127e-06,1.8740500267178106e-06,-8.000123282751405e-06,1.4789773993296535e-05,10.385000000000224,1.7746577227745877e-07
-3.1968237768653415e-06,1.9591963416419108e-06,1.8343077594629165e-06,-7.898086026675366e-06,1.4416268057659571e-05,10.390000000000224,1.731177046308036e-07
-3.1868521947830163e-06,2.0294364912882063e-06,1.7950737616345691e-06,-7.796799194460318e-06,1.4048029929259102e-05,10.395000000000225,1.6883003987731657e-07
-3.176533949651885e-06,2.0978615611643736e-06,1.7563442762380532e-06,-7.696264780806937e-06,1.3685013975233462e-05,10.400000000000226,1.6460226613854314e-07
-3.1658780521633745e-06,2.1644974342396773e-06,1.7181155373968693e-06,-7.596484607897509e-06,1.3327174615060756e-05,10.405000000000227,1.6043387189581826e-07
-3.1548933841628122e-06,2.2293697659852582e-06,1.6803837694645551e-06,-7.497460329164168e-06,1.29744663491162e-05,10.410000000000228,1.563243462918503e-07
-3.1435886997869004e-06,2.2925039843794912e-06,1.6431451901333105e-06,-7.3991934316924425e-06,1.2626843678846577e-05,10.415000000000228,1.5227317829564453e-07
-3.131972626599659e-06,2.3539252905171255e-06,1.6063960091017293e-06,-7.301685240333088e-06,1.2284261227526873e-05,10.420000000000229,1.4827985799552154e-07
